0,1,2,3
03/20/19 17:48:19.023,11.5,1003.1,175.1
03/20/19 17:48:19.126,12.8,1002.4,174.7
03/20/19 17:48:19.229,12.1,1004.3,175.4
03/20/19 17:48:19.332,11.3,1003.4,175.6
03/20/19 17:48:19.435,12.1,1001.9,174.5
03/20/19 17:48:19.538,13.8,1001.4,173.2
03/20/19 17:48:19.641,12.5,1001.3,173.5
03/20/19 17:48:19.744,11.7,1003.8,173.9
03/20/19 17:48:19.847,11.5,1002.0,174.9
03/20/19 17:48:19.951,13.1,1001.6,172.1
03/20/19 17:48:20.053,12.7,1004.4,174.2
03/20/19 17:48:20.157,11.7,999.8,173.8
03/20/19 17:48:20.260,11.9,1000.9,173.9
03/20/19 17:48:20.363,12.9,1003.0,175.4
03/20/19 17:48:20.465,10.7,1003.8,174.0
03/20/19 17:48:20.569,12.9,1003.9,174.0
03/20/19 17:48:20.672,13.1,1002.0,174.4
03/20/19 17:48:20.775,12.1,1001.5,172.6
03/20/19 17:48:20.878,12.7,1005.2,173.7
03/20/19 17:48:20.981,13.5,1001.3,174.7
03/20/19 17:48:21.084,13.6,1001.3,174.2
03/20/19 17:48:21.188,13.3,1002.7,174.5
03/20/19 17:48:21.290,12.6,1002.5,173.6
03/20/19 17:48:21.393,11.6,1001.1,174.0
03/20/19 17:48:21.496,11.7,1003.8,173.8
03/20/19 17:48:21.600,12.0,999.9,174.0
03/20/19 17:48:21.702,13.8,1005.8,174.3
03/20/19 17:48:21.805,12.8,1003.0,174.9
03/20/19 17:48:21.909,11.7,1001.9,174.3
03/20/19 17:48:22.012,12.8,1003.7,174.8
03/20/19 17:48:22.114,12.3,1001.6,175.2
03/20/19 17:48:22.217,11.2,1001.7,174.7
03/20/19 17:48:22.321,11.3,1004.5,175.3
03/20/19 17:48:22.424,13.5,1002.4,173.7
03/20/19 17:48:22.526,13.3,1004.3,173.4
03/20/19 17:48:22.630,12.6,1002.4,175.1
03/20/19 17:48:22.733,13.9,1002.1,173.7
03/20/19 17:48:22.836,13.5,1000.1,174.0
03/20/19 17:48:22.939,12.7,1003.7,174.5
03/20/19 17:48:23.042,11.6,1002.2,175.4
03/20/19 17:48:23.145,10.9,1001.8,174.8
03/20/19 17:48:23.249,11.4,1005.2,174.1
03/20/19 17:48:23.351,14.5,1001.0,176.0
03/20/19 17:48:23.454,11.8,1003.8,174.6
03/20/19 17:48:23.558,12.1,1003.4,174.7
03/20/19 17:48:23.661,12.0,1001.1,173.2
03/20/19 17:48:23.763,11.8,1005.2,174.8
03/20/19 17:48:23.867,11.4,1005.5,174.4
03/20/19 17:48:23.970,12.3,1002.2,174.6
03/20/19 17:48:24.073,12.1,1004.2,175.1
03/20/19 17:48:24.176,11.5,1003.5,175.6
03/20/19 17:48:24.279,12.5,1002.0,173.8
