Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
2020-10-22 16:03:20.985000+00:00,303.76,-37.62,-62.58,81.13,41.39,-58.15
2020-10-22 16:03:21.105000+00:00,304.45,-35.22,-60.9,83.26,39.88,-55.6
2020-10-22 16:03:21.286000+00:00,306.49,-36.03,-61.14,81.77,40.35,-58.27
2020-10-22 16:03:21.290000+00:00,306.55,-35.61,-61.48,82.5,39.7,-57.23
2020-10-22 16:03:21.470000+00:00,306.01,-33.67,-60.43,83.58,37.83,-54.88
2020-10-22 16:03:21.470000+00:00,304.54,-32.0,-58.33,83.41,35.11,-53.23
2020-10-22 16:03:21.976000+00:00,304.22,-32.5,-56.07,82.63,33.66,-54.6
2020-10-22 16:03:21.989000+00:00,304.22,-32.13,-57.72,83.28,35.62,-52.35
2020-10-22 16:03:21.990000+00:00,304.73,-27.84,-58.1,85.87,35.19,-46.4
2020-10-22 16:03:21.996000+00:00,310.58,-29.81,-58.24,79.68,44.55,-49.62
2020-10-22 16:03:22.095000+00:00,309.17,-32.79,-53.86,77.83,45.05,-48.93
2020-10-22 16:03:22.097000+00:00,304.73,-23.42,-43.72,84.75,39.53,-36.29
2020-10-22 16:03:22.395000+00:00,305.4,-21.51,-42.75,88.65,38.15,-32.78
2020-10-22 16:03:22.399000+00:00,303.02,-21.97,-39.58,86.95,39.17,-34.51
2020-10-22 16:03:22.455000+00:00,299.69,-20.33,-36.47,83.93,40.3,-35.82
2020-10-22 16:03:22.529000+00:00,294.67,-18.23,-45.22,78.33,45.36,-34.55
2020-10-22 16:03:22.846000+00:00,282.9,-11.19,-43.11,75.87,34.13,-30.01
2020-10-22 16:03:22.847000+00:00,272.87,-2.38,-40.13,76.17,23.12,-24.7
2020-10-22 16:03:22.875000+00:00,273.6,-2.2,-38.79,77.86,17.84,-29.84
2020-10-22 16:03:22.967000+00:00,271.26,-4.6,-34.78,70.61,15.68,-33.6
2020-10-22 16:03:23.055000+00:00,270.48,-1.51,-33.38,67.75,16.8,-26.96
2020-10-22 16:03:23.599000+00:00,263.35,-20.95,-39.79,41.57,34.24,-46.28
2020-10-22 16:03:23.685000+00:00,250.91,-21.48,-33.26,34.52,29.44,-42.5
2020-10-22 16:03:23.841000+00:00,230.37,-3.2,-45.63,37.24,39.37,-11.13
2020-10-22 16:03:23.847000+00:00,229.56,-3.35,-50.8,39.8,43.94,-8.64
2020-10-22 16:03:23.847000+00:00,230.0,2.02,-57.84,48.44,48.16,0.19
2020-10-22 16:03:23.985000+00:00,230.21,1.92,-59.61,49.14,49.42,-1.21
2020-10-22 16:03:24.045000+00:00,234.03,5.09,-55.7,54.77,46.37,0.95
2020-10-22 16:03:24.166000+00:00,245.07,1.84,-48.05,59.12,35.71,-12.12
2020-10-22 16:03:24.386000+00:00,244.93,-6.02,-37.89,54.55,22.77,-26.77
2020-10-22 16:03:24.389000+00:00,235.81,-9.73,-34.21,48.73,17.88,-31.82
2020-10-22 16:03:24.435000+00:00,231.28,-4.05,-38.24,49.73,15.33,-24.95
2020-10-22 16:03:24.679000+00:00,236.7,0.29,-39.9,61.11,8.74,-24.28
2020-10-22 16:03:24.681000+00:00,247.39,-17.49,-49.17,60.19,29.15,-37.51
