Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
2020-10-22 15:24:04.040000+00:00,271.51,-44.66,-50.03,72.64,32.17,-57.7
2020-10-22 15:24:04.152000+00:00,267.09,-40.83,-39.6,70.97,21.18,-58.66
2020-10-22 15:24:04.211000+00:00,262.37,-32.89,-28.5,69.43,9.2,-55.3
2020-10-22 15:24:04.358000+00:00,254.68,-28.54,-14.04,67.54,-2.25,-55.48
2020-10-22 15:24:04.428000+00:00,250.66,-21.44,-1.01,67.02,-13.12,-55.57
2020-10-22 15:24:04.660000+00:00,247.16,-21.17,-1.05,58.47,-10.78,-55.21
2020-10-22 15:24:04.660000+00:00,247.7,-24.02,-9.64,51.22,0.79,-52.15
2020-10-22 15:24:04.721000+00:00,258.68,-29.45,-21.11,53.96,11.85,-50.47
2020-10-22 15:24:04.890000+00:00,265.69,-31.44,-24.12,54.41,16.72,-49.31
2020-10-22 15:24:04.931000+00:00,267.58,-32.64,-26.3,52.53,21.26,-48.27
2020-10-22 15:24:05.050000+00:00,262.48,-30.78,-25.48,49.17,22.71,-48.29
2020-10-22 15:24:05.112000+00:00,258.67,-29.47,-29.6,46.66,24.34,-49.25
2020-10-22 15:24:05.237000+00:00,259.09,-27.8,-35.79,48.4,28.57,-45.04
2020-10-22 15:24:05.320000+00:00,262.39,-25.3,-38.74,52.46,31.29,-39.74
2020-10-22 15:24:05.413000+00:00,268.04,-27.45,-37.79,57.02,31.51,-39.44
2020-10-22 15:24:05.533000+00:00,274.78,-32.37,-38.45,60.07,32.42,-44.31
2020-10-22 15:24:05.622000+00:00,281.77,-39.68,-40.11,62.13,34.27,-52.0
2020-10-22 15:24:05.741000+00:00,284.5,-43.6,-38.69,63.19,33.97,-58.38
2020-10-22 15:24:05.831000+00:00,283.07,-45.16,-35.37,61.18,31.62,-62.36
2020-10-22 15:24:06.081000+00:00,263.61,-38.03,-18.37,56.22,22.45,-54.73
2020-10-22 15:24:06.131000+00:00,257.42,-27.81,-17.35,54.85,24.08,-42.32
2020-10-22 15:24:06.220000+00:00,254.84,-18.35,-24.82,55.95,32.23,-30.12
2020-10-22 15:24:06.370000+00:00,251.18,-12.66,-31.71,56.68,38.47,-21.76
2020-10-22 15:24:06.460000+00:00,248.94,-9.31,-38.96,59.66,44.23,-16.44
2020-10-22 15:24:06.581000+00:00,248.39,-11.14,-41.97,60.33,45.48,-20.34
2020-10-22 15:24:06.641000+00:00,252.05,-16.61,-40.1,59.65,39.97,-30.16
2020-10-22 15:24:06.731000+00:00,248.64,-20.71,-33.26,58.45,28.8,-37.03
2020-10-22 15:24:06.852000+00:00,242.73,-21.76,-26.5,58.02,23.61,-39.76
2020-10-22 15:24:06.971000+00:00,243.98,-17.91,-27.33,62.49,24.0,-35.36
2020-10-22 15:24:07.231000+00:00,258.47,-16.78,-30.55,75.67,29.43,-31.91
2020-10-22 15:24:07.248000+00:00,269.56,-18.46,-31.73,84.21,30.57,-31.65
2020-10-22 15:24:07.391000+00:00,284.06,-22.92,-37.19,96.42,33.25,-36.11
2020-10-22 15:24:07.450000+00:00,293.86,-29.41,-44.57,101.14,37.37,-44.75
2020-10-22 15:24:07.572000+00:00,294.52,-31.44,-47.04,88.48,39.84,-50.22
2020-10-22 15:24:08.096000+00:00,292.27,-43.94,-50.29,67.08,42.5,-64.35
2020-10-22 15:24:08.111000+00:00,290.77,-50.67,-45.35,65.36,36.35,-70.15
2020-10-22 15:24:08.132000+00:00,293.78,-55.42,-43.93,67.2,33.87,-73.22
2020-10-22 15:24:08.144000+00:00,302.05,-57.46,-50.42,68.78,36.79,-75.08
2020-10-22 15:24:08.206000+00:00,303.46,-57.49,-48.53,70.71,35.52,-74.73
2020-10-22 15:24:08.207000+00:00,305.46,-56.96,-48.05,71.9,35.62,-74.66
2020-10-22 15:24:08.266000+00:00,306.9,-56.28,-47.21,72.83,35.54,-74.44
2020-10-22 15:24:08.380000+00:00,308.74,-55.55,-47.0,73.67,35.95,-74.1
2020-10-22 15:24:08.561000+00:00,310.28,-55.33,-46.76,74.09,35.98,-74.23
2020-10-22 15:24:08.561000+00:00,311.45,-54.92,-46.34,74.42,36.05,-74.28
2020-10-22 15:24:08.651000+00:00,312.88,-54.81,-46.33,74.62,36.15,-74.39
2020-10-22 15:24:08.802000+00:00,314.05,-54.45,-46.17,74.87,36.26,-74.28
2020-10-22 15:24:08.863000+00:00,315.18,-54.13,-46.21,75.08,36.47,-74.21
2020-10-22 15:24:09.311000+00:00,316.01,-54.0,-45.93,75.25,36.42,-74.23
2020-10-22 15:24:09.312000+00:00,316.47,-53.86,-45.38,75.22,36.21,-74.35
2020-10-22 15:24:09.314000+00:00,317.09,-53.52,-45.18,75.41,36.26,-74.16
2020-10-22 15:24:09.320000+00:00,317.78,-53.34,-45.1,75.44,36.32,-74.12
2020-10-22 15:24:09.370000+00:00,318.59,-53.27,-45.26,75.48,36.49,-74.1
2020-10-22 15:24:09.492000+00:00,319.08,-53.27,-45.05,75.42,36.4,-74.21
2020-10-22 15:24:09.703000+00:00,319.34,-53.13,-44.73,75.47,36.22,-74.19
2020-10-22 15:24:09.723000+00:00,319.73,-52.9,-44.64,75.62,36.27,-73.96
2020-10-22 15:24:09.823000+00:00,320.03,-52.69,-44.46,75.7,36.31,-73.82
2020-10-22 15:24:09.915000+00:00,320.25,-52.55,-44.36,75.69,36.33,-73.76
2020-10-22 15:24:10.062000+00:00,320.26,-52.51,-43.9,75.64,36.03,-73.74
2020-10-22 15:24:10.107000+00:00,320.3,-52.32,-43.7,75.69,35.99,-73.54
2020-10-22 15:24:10.195000+00:00,320.31,-52.05,-43.47,75.77,35.98,-73.27
2020-10-22 15:24:10.333000+00:00,320.2,-51.65,-43.13,75.85,35.98,-72.9
2020-10-22 15:24:10.390000+00:00,320.11,-51.4,-42.84,75.92,35.95,-72.51
2020-10-22 15:24:10.540000+00:00,319.72,-51.33,-42.2,75.75,35.45,-72.49
2020-10-22 15:24:10.662000+00:00,319.65,-50.89,-42.01,75.93,35.49,-71.98
2020-10-22 15:24:10.721000+00:00,319.78,-50.94,-42.01,75.8,35.48,-72.07
2020-10-22 15:24:10.843000+00:00,319.92,-50.74,-41.98,76.0,35.49,-71.73
2020-10-22 15:24:10.901000+00:00,319.77,-50.72,-41.79,75.83,35.4,-71.85
2020-10-22 15:24:11.111000+00:00,319.59,-50.71,-41.5,75.8,35.11,-71.84
2020-10-22 15:24:11.202000+00:00,319.23,-50.26,-41.2,75.96,35.12,-71.33
2020-10-22 15:24:11.471000+00:00,319.02,-50.01,-40.92,76.04,34.96,-71.02
2020-10-22 15:24:11.472000+00:00,319.42,-50.42,-41.37,75.71,35.19,-71.72
2020-10-22 15:24:11.480000+00:00,319.29,-50.33,-41.23,75.85,35.11,-71.52
2020-10-22 15:24:11.532000+00:00,318.86,-50.18,-40.81,75.91,34.71,-71.22
2020-10-22 15:24:11.632000+00:00,318.26,-49.37,-40.12,76.22,34.46,-70.2
