Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
2020-10-22 15:44:46.454000+00:00,295.7,-45.21,-30.34,87.29,30.03,-57.11
2020-10-22 15:44:46.464000+00:00,300.63,-28.93,-15.53,102.43,12.38,-44.38
2020-10-22 15:44:46.495000+00:00,307.28,-12.78,-8.32,107.92,4.04,-31.89
2020-10-22 15:44:46.516000+00:00,311.03,-12.14,-16.6,106.79,20.84,-26.41
2020-10-22 15:44:46.539000+00:00,313.28,-23.39,-30.48,99.46,36.96,-36.56
2020-10-22 15:44:46.547000+00:00,309.21,-23.2,-28.97,96.06,35.58,-35.59
2020-10-22 15:44:46.548000+00:00,304.98,-31.66,-24.31,85.32,34.07,-48.21
2020-10-22 15:44:46.673000+00:00,304.24,-49.99,-33.63,65.13,39.26,-69.27
2020-10-22 15:44:46.767000+00:00,312.32,-61.27,-46.3,55.28,38.6,-85.31
2020-10-22 15:44:46.827000+00:00,304.19,-68.0,-47.22,47.54,33.59,-90.85
2020-10-22 15:44:47.154000+00:00,304.83,-69.34,-52.79,49.23,32.46,-92.35
2020-10-22 15:44:47.164000+00:00,300.05,-70.64,-48.95,51.17,28.35,-91.86
2020-10-22 15:44:47.165000+00:00,288.0,-64.23,-28.84,68.34,20.91,-83.45
2020-10-22 15:44:47.363000+00:00,303.22,-60.28,-33.13,81.99,24.25,-78.62
2020-10-22 15:44:47.543000+00:00,332.77,-62.42,-65.27,73.67,39.65,-84.96
2020-10-22 15:44:47.814000+00:00,1.46,-64.63,-93.78,66.98,43.23,-98.8
2020-10-22 15:44:47.814000+00:00,20.02,-61.56,-109.97,62.56,46.9,-108.7
2020-10-22 15:44:47.876000+00:00,37.67,-65.66,-124.45,59.99,39.25,-117.89
2020-10-22 15:44:48.176000+00:00,223.79,-88.53,54.71,62.41,14.91,-108.29
2020-10-22 15:44:48.188000+00:00,248.41,-70.59,31.29,62.66,3.54,-93.84
2020-10-22 15:44:48.196000+00:00,264.36,-51.98,9.85,57.75,3.41,-72.37
2020-10-22 15:44:48.232000+00:00,271.92,-38.31,-16.84,48.7,17.73,-56.29
2020-10-22 15:44:48.233000+00:00,271.98,-27.58,-37.47,47.14,37.18,-39.39
2020-10-22 15:44:48.352000+00:00,267.78,-24.33,-37.91,51.37,32.19,-35.7
2020-10-22 15:44:48.532000+00:00,256.02,1.0,-34.44,58.44,29.44,-8.99
2020-10-22 15:44:48.683000+00:00,252.76,1.84,-38.12,57.41,36.02,-9.69
2020-10-22 15:44:48.781000+00:00,253.35,-7.51,-39.02,52.57,34.64,-22.18
2020-10-22 15:44:49.033000+00:00,252.77,-8.48,-32.66,57.19,24.74,-25.2
2020-10-22 15:44:49.196000+00:00,262.1,-15.74,-31.35,61.23,28.79,-29.7
2020-10-22 15:44:49.312000+00:00,261.47,-18.31,-22.14,61.51,19.82,-34.57
2020-10-22 15:44:49.372000+00:00,254.63,-20.78,-15.41,55.69,15.96,-38.16
2020-10-22 15:44:49.494000+00:00,242.5,-20.48,-14.52,46.47,19.01,-37.85
2020-10-22 15:44:49.554000+00:00,240.91,-16.57,-23.37,47.52,22.53,-31.58
2020-10-22 15:44:49.673000+00:00,239.67,-15.51,-24.39,49.53,22.04,-30.67
2020-10-22 15:44:49.795000+00:00,239.03,-10.43,-31.98,52.52,31.09,-21.19
2020-10-22 15:44:49.857000+00:00,237.76,-5.44,-41.81,57.87,38.86,-11.26
2020-10-22 15:44:50.066000+00:00,234.61,-0.83,-46.55,62.01,41.86,-2.24
2020-10-22 15:44:50.094000+00:00,232.11,-1.35,-50.51,63.14,46.08,0.67
2020-10-22 15:44:50.152000+00:00,228.71,-0.9,-50.02,61.62,45.57,0.19
2020-10-22 15:44:50.332000+00:00,226.85,2.94,-48.83,62.75,42.74,2.14
2020-10-22 15:45:06.886000+00:00,237.81,-27.16,-25.73,51.08,24.76,-39.1
2020-10-22 15:45:07.062000+00:00,227.83,-15.81,-33.93,48.56,34.96,-21.03
2020-10-22 15:45:07.186000+00:00,125.4,-151.21,-51.01,148.63,2.51,25.6
2020-10-22 15:45:07.303000+00:00,314.84,-51.4,112.84,312.5,2.53,25.6
2020-10-22 15:45:07.364000+00:00,199.64,273.72,205.0,427.7,2.52,25.6
2020-10-22 15:45:07.543000+00:00,222.97,-6.0,-49.92,55.15,45.44,-6.34
2020-10-22 15:45:07.637000+00:00,220.66,-2.62,-49.18,58.02,44.46,-4.82
2020-10-22 15:45:07.784000+00:00,216.98,1.35,-48.92,61.41,43.42,-2.08
2020-10-22 15:45:07.883000+00:00,219.73,-1.64,-44.82,62.37,44.46,-8.97
2020-10-22 15:45:08.346000+00:00,224.7,-11.21,-41.67,58.41,39.71,-26.26
2020-10-22 15:45:08.374000+00:00,224.76,-15.5,-34.11,61.11,29.31,-32.91
2020-10-22 15:45:08.410000+00:00,217.25,-22.21,-33.04,56.35,28.58,-36.57
2020-10-22 15:45:08.501000+00:00,212.0,-11.55,-30.42,56.5,20.01,-27.89
2020-10-22 15:45:08.526000+00:00,215.71,-3.4,-29.62,59.07,15.41,-23.21
2020-10-22 15:45:08.668000+00:00,218.45,-3.47,-39.36,43.68,28.28,-26.15
2020-10-22 15:45:08.668000+00:00,219.2,-3.16,-33.38,54.28,21.39,-24.33
2020-10-22 15:45:08.897000+00:00,222.64,5.07,-32.99,49.21,16.08,-18.05
2020-10-22 15:45:08.898000+00:00,229.86,10.93,-27.52,52.68,13.42,-6.68
2020-10-22 15:45:08.907000+00:00,230.81,9.69,-32.22,48.85,18.16,-2.81
2020-10-22 15:45:09.073000+00:00,230.7,15.34,-30.79,44.89,8.66,-0.34
2020-10-22 15:45:09.253000+00:00,231.96,9.51,-36.67,41.26,13.99,-4.61
2020-10-22 15:45:09.254000+00:00,232.15,3.53,-36.9,34.05,18.21,-11.7
2020-10-22 15:45:09.443000+00:00,229.91,-16.32,-29.79,17.11,18.07,-33.96
2020-10-22 15:45:09.856000+00:00,228.11,-13.1,-28.64,13.9,11.82,-32.11
2020-10-22 15:45:10.019000+00:00,229.96,-5.03,-32.05,16.84,21.59,-15.98
2020-10-22 15:45:10.164000+00:00,233.24,-8.79,-31.11,12.8,32.83,-15.2
2020-10-22 15:45:10.305000+00:00,234.01,-22.51,-27.72,4.39,36.33,-27.56
2020-10-22 15:45:10.318000+00:00,232.36,-23.41,-27.05,358.7,35.12,-29.51
2020-10-22 15:45:10.323000+00:00,232.17,-24.46,-26.7,355.29,36.91,-30.46
2020-10-22 15:45:10.349000+00:00,230.74,-23.54,-23.95,352.97,37.2,-30.82
2020-10-22 15:45:10.378000+00:00,230.95,-27.4,-19.92,349.88,38.09,-35.99
2020-10-22 15:45:10.465000+00:00,232.78,-26.27,-16.88,350.4,36.17,-37.63
2020-10-22 15:45:10.545000+00:00,235.23,-34.05,-13.91,349.26,33.92,-46.01
2020-10-22 15:45:10.903000+00:00,229.98,-47.33,-10.58,341.47,23.8,-61.14
2020-10-22 15:45:11.473000+00:00,221.25,-43.56,-19.42,337.9,28.7,-58.9
2020-10-22 15:45:11.675000+00:00,212.67,-44.46,-16.77,334.53,28.51,-59.89
