Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
2020-10-22 18:19:34.737000+00:00,133.71,14.41,-16.84,18.58,0.67,-1.0
2020-10-22 18:19:34.767000+00:00,132.83,-0.91,-26.39,15.45,15.19,-12.22
2020-10-22 18:19:34.775000+00:00,114.72,-2.06,-33.84,353.27,28.62,-16.08
2020-10-22 18:19:34.895000+00:00,79.67,6.91,-40.62,321.59,28.54,-18.34
2020-10-22 18:19:36.905000+00:00,292.85,249.37,83.0,282.65,300.64,156.77
2020-10-22 18:19:36.965000+00:00,156.77,156.77,156.77,156.77,156.77,156.77
2020-10-22 18:19:36.966000+00:00,156.77,156.77,156.77,156.77,156.77,156.77
2020-10-22 18:19:37.089000+00:00,292.85,249.37,83.0,282.65,300.64,156.77
2020-10-22 18:19:37.095000+00:00,156.77,156.77,156.77,156.77,156.77,156.77
2020-10-22 18:19:37.096000+00:00,156.77,156.77,156.77,156.77,156.77,156.77
2020-10-22 18:19:37.207000+00:00,292.85,249.37,83.0,282.65,300.64,5.13
2020-10-22 18:19:37.279000+00:00,70.71,14.52,-42.99,308.57,25.03,-13.3
2020-10-22 18:19:37.387000+00:00,71.43,18.9,-36.4,310.58,21.34,-13.61
2020-10-22 18:19:37.536000+00:00,71.32,17.63,-36.9,312.37,25.31,-12.8
2020-10-22 18:19:37.739000+00:00,77.6,11.99,-39.8,320.55,29.52,-17.66
2020-10-22 18:19:37.776000+00:00,80.61,3.07,-40.35,319.01,31.46,-27.42
2020-10-22 18:19:38.020000+00:00,80.01,-1.27,-31.81,317.07,22.56,-35.49
2020-10-22 18:19:38.135000+00:00,75.86,-0.77,-31.73,313.09,18.38,-36.75
2020-10-22 18:19:38.315000+00:00,73.61,4.19,-29.01,315.5,14.28,-32.46
2020-10-22 18:19:38.316000+00:00,73.76,3.95,-29.16,316.97,14.8,-31.02
2020-10-22 18:19:38.467000+00:00,77.74,7.39,-23.21,322.99,11.73,-28.15
2020-10-22 18:19:38.585000+00:00,82.97,2.1,-26.82,327.9,14.15,-31.0
2020-10-22 18:19:38.646000+00:00,84.96,-2.54,-31.75,325.76,19.44,-34.06
2020-10-22 18:19:38.706000+00:00,84.37,3.21,-33.0,325.93,21.7,-30.34
2020-10-22 18:19:38.885000+00:00,84.66,4.96,-32.42,324.61,21.72,-30.41
2020-10-22 18:19:38.886000+00:00,85.91,6.18,-34.29,322.86,23.44,-30.3
2020-10-22 18:19:39.005000+00:00,86.87,5.4,-35.05,320.69,25.26,-30.34
2020-10-22 18:19:39.366000+00:00,96.49,4.71,-35.36,318.62,28.33,-30.27
2020-10-22 18:19:39.436000+00:00,100.25,5.93,-37.12,317.55,29.22,-30.87
2020-10-22 18:19:39.516000+00:00,104.59,-4.24,-39.33,310.53,32.5,-42.73
2020-10-22 18:19:39.605000+00:00,112.57,-20.51,-38.61,306.38,32.64,-57.18
2020-10-22 18:19:39.701000+00:00,116.31,-27.57,-35.59,302.96,31.71,-65.05
2020-10-22 18:19:39.815000+00:00,116.76,-30.43,-36.3,299.86,31.9,-68.25
2020-10-22 18:19:39.935000+00:00,116.03,-30.95,-31.97,298.03,29.24,-69.06
2020-10-22 18:19:40.180000+00:00,110.0,-34.03,-21.91,300.17,21.47,-68.97
2020-10-22 18:19:40.182000+00:00,106.74,-26.24,-16.93,306.93,14.85,-62.22
2020-10-22 18:19:40.217000+00:00,108.2,-18.41,-20.89,314.38,13.67,-53.84
2020-10-22 18:19:40.325000+00:00,109.42,-20.95,-23.42,319.75,13.75,-53.36
2020-10-22 18:19:40.600000+00:00,109.34,-24.42,-24.2,325.69,13.66,-53.23
2020-10-22 18:19:40.715000+00:00,109.35,-25.58,-25.24,330.77,14.2,-53.03
2020-10-22 18:19:40.715000+00:00,108.78,-23.91,-26.09,334.59,15.51,-51.19
2020-10-22 18:19:40.902000+00:00,109.28,-17.34,-30.9,337.67,19.88,-43.02
2020-10-22 18:19:40.902000+00:00,110.59,-6.2,-33.4,341.88,23.68,-30.66
2020-10-22 18:19:41.136000+00:00,116.48,-7.69,-33.52,347.05,25.58,-28.68
2020-10-22 18:19:41.146000+00:00,111.67,-12.54,-25.71,339.31,19.08,-33.1
2020-10-22 18:19:41.196000+00:00,105.87,-5.34,-19.51,334.93,10.9,-29.65
2020-10-22 18:19:41.316000+00:00,104.36,-2.52,-23.92,337.47,12.6,-26.96
2020-10-22 18:19:41.325000+00:00,107.69,-4.42,-28.51,346.74,17.08,-25.22
2020-10-22 18:19:41.556000+00:00,113.84,-12.96,-30.93,349.83,21.57,-31.53
2020-10-22 18:19:41.616000+00:00,106.49,-20.34,-23.68,335.96,18.24,-41.59
2020-10-22 18:19:41.747000+00:00,101.99,-14.27,-23.8,334.32,18.36,-36.0
2020-10-22 18:19:41.915000+00:00,104.82,-7.82,-31.6,342.87,25.01,-28.01
2020-10-22 18:19:42.215000+00:00,108.1,-13.94,-27.62,343.17,22.35,-31.27
2020-10-22 18:19:42.216000+00:00,101.75,-9.82,-21.92,336.16,15.88,-32.11
2020-10-22 18:19:42.216000+00:00,101.36,-4.93,-24.98,340.22,16.45,-27.82
2020-10-22 18:19:42.457000+00:00,110.46,-9.6,-32.4,351.41,23.32,-28.29
2020-10-22 18:19:42.996000+00:00,107.65,-23.91,-23.83,334.9,22.24,-44.77
2020-10-22 18:19:43.005000+00:00,102.25,-21.27,-18.94,335.77,15.12,-45.2
2020-10-22 18:19:43.054000+00:00,101.94,-18.12,-23.75,342.06,16.58,-43.24
2020-10-22 18:19:43.446000+00:00,99.24,-19.65,-23.47,348.53,18.29,-44.16
2020-10-22 18:19:43.456000+00:00,100.09,-13.07,-28.34,356.16,22.6,-37.58
2020-10-22 18:19:46.408000+00:00,177.56,-13.08,-48.4,29.42,42.28,-30.04
2020-10-22 18:19:46.408000+00:00,174.39,-17.69,-45.44,18.87,44.17,-34.98
2020-10-22 18:19:46.635000+00:00,173.53,-23.75,-42.05,8.06,44.38,-42.62
2020-10-22 18:19:46.637000+00:00,172.28,-28.99,-36.6,1.54,41.76,-45.41
2020-10-22 18:19:46.759000+00:00,171.65,-27.28,-32.71,355.92,40.74,-45.51
2020-10-22 18:19:46.916000+00:00,173.92,-29.24,-33.72,350.2,41.6,-47.2
2020-10-22 18:19:46.926000+00:00,176.54,-31.55,-33.08,345.71,44.45,-48.79
2020-10-22 18:19:47.145000+00:00,182.46,-40.01,-34.58,340.63,46.75,-58.17
2020-10-22 18:19:47.146000+00:00,187.93,-50.32,-36.3,334.91,42.58,-70.59
2020-10-22 18:19:47.206000+00:00,189.69,-59.13,-34.19,333.88,31.45,-79.7
2020-10-22 18:19:47.462000+00:00,189.46,-61.44,-29.55,340.63,24.9,-83.06
2020-10-22 18:19:47.523000+00:00,190.32,-58.39,-27.47,347.15,23.29,-79.12
2020-10-22 18:19:47.524000+00:00,185.42,-61.02,-20.07,349.98,19.07,-78.83
2020-10-22 18:19:47.805000+00:00,169.32,-64.26,-3.03,351.41,10.87,-80.85
2020-10-22 18:19:47.815000+00:00,157.64,-59.75,6.84,354.12,2.6,-79.81
2020-10-22 18:19:47.815000+00:00,152.98,-55.02,10.59,357.65,-3.45,-76.74
2020-10-22 18:19:48.032000+00:00,148.04,-45.34,17.88,2.23,-9.38,-70.78
2020-10-22 18:19:48.135000+00:00,151.1,-37.26,20.78,6.58,-15.01,-63.5
2020-10-22 18:19:48.235000+00:00,150.51,-46.1,24.01,12.01,-11.58,-69.91
2020-10-22 18:19:48.497000+00:00,164.93,-50.46,-0.77,10.74,4.64,-68.17
2020-10-22 18:19:48.647000+00:00,171.88,-47.02,-16.8,5.82,17.4,-64.9
2020-10-22 18:19:48.647000+00:00,167.95,-45.95,-19.69,357.43,22.04,-64.81
2020-10-22 18:19:48.766000+00:00,140.07,-47.13,-4.47,339.3,16.01,-64.97
2020-10-22 18:19:48.825000+00:00,130.9,-45.04,-0.97,332.28,13.12,-65.92
2020-10-22 18:19:48.948000+00:00,132.88,-44.73,-10.4,327.43,15.74,-68.5
