58:25.4,-266.6,-322.8,806.2,-13.2,-48,22.4,6.8,-22.4,-24.2,39.16,-22.16,24.14,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:25.5,-332.2,-228.8,773.4,-10.2,-16.1,29.5,6.3,-22.8,-23.7,35.36,-19.1,23.62,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:25.6,-460.5,-493.6,875,-61.5,-67.3,11.1,6.5,-22.7,-24,30.76,-19.26,23.82,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:25.7,-597.2,-736.6,621,-2.2,-38.2,-19.8,5.4,-26.4,-21.2,30.82,-28,19.26,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:25.8,-348.4,-443.8,804.3,3.5,3.6,-14.2,2.4,-26.1,-21.8,31.14,-29.94,20,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:25.9,-263.2,-368.9,825.1,35.9,18.9,-52.8,0.9,-25.8,-23,36.78,-27.1,17.5,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.0,-696.3,-401.7,877.2,39.4,72.4,-29.4,0.8,-23.4,-25.2,43.18,-21.72,21.44,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.2,-398.6,-296,800.3,20.2,74.9,-4.9,5.1,-20.4,-26.9,46.02,-18.74,29.04,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.3,-693.9,-432.6,911,-13.2,49.2,-0.8,10.7,-19.8,-26.6,46.76,-19.78,34.46,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.4,-489.5,-337.1,708.6,-2,7.4,1.9,12.6,-20.1,-24.6,46.66,-21.74,34.64,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.5,-552.7,-376,766.5,4.8,-9.9,2.8,12,-20.1,-25.2,45.8,-21.7,36.82,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.6,-626.7,-365.6,773.5,7.1,16.2,0.3,12.2,-20,-24.8,46.2,-22.34,36.64,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.7,-736.9,-371.1,718.2,5.5,5.3,5.9,13.1,-19.8,-25.1,46.64,-21.94,37.58,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.8,-644.8,-325.8,727.2,-3.6,5.4,2.4,13.7,-18.9,-25.2,46.74,-20.24,38.16,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:26.9,-599.9,-354.8,759.2,-4.9,-3.5,5.8,13.8,-18.9,-25.2,46.18,-20.88,38,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.0,-617.3,-348.4,770.3,-12.5,-2.8,4.5,14.9,-18.8,-25.1,45,-20.88,38.56,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.1,-803,-379.8,844.4,-5.7,-75.7,7.1,13.4,-20,-24.5,42.82,-21.48,38.84,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.2,-449.8,-87.4,911.5,-9.1,-87.1,38,8.4,-20.4,-26.9,41.12,-15.02,28.32,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.3,-324.9,-213.5,814.8,-45,-29.4,68.9,6.9,-21.6,-26.3,34.7,-11.06,24.24,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.4,-368.3,-449.6,689,-95.1,-93.8,32.3,8,-24.2,-23.7,25.64,-18.38,24.26,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.5,-50.5,-1043,792.6,-42.2,-60.4,-12.9,5.9,-29.9,-18.2,19.68,-32.08,20.28,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.6,-48.4,-602.5,444.1,-8.7,-16,-14,3.5,-31.5,-17.4,20.3,-38.58,15.48,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.7,-227.7,-654.2,768.2,23.5,2.7,-52.5,1.7,-32.1,-17.3,24.28,-42.06,13.8,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.8,-454.3,-515.9,773.4,46.2,38.2,-53.4,-1.7,-30.3,-20.7,30.82,-36.88,14.62,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:27.9,-174,-340.6,698.6,49.4,47.3,-55.4,-3.5,-27.2,-23.7,38.32,-29.82,16.5,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.0,-564.2,-347.5,878.9,43.4,97.9,-17.1,1.2,-24.5,-24.9,42.84,-22.94,26.84,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.1,-466.7,-297.1,903,66.4,87,-17.6,6,-20.1,-27.5,49.68,-17.06,30.64,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.2,-548.1,-282.1,938.6,25.6,60.8,-5.9,10.4,-16.1,-29.4,55.06,-13.84,31.66,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.3,-592.7,-328.9,768.1,10.9,8.9,5.3,13.7,-15.3,-29.4,55.1,-15.28,36.44,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.4,-522.9,-264.1,749.1,27,10.9,-12.2,13.4,-14.1,-30,56.72,-15.08,37.52,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.5,-632,-173.8,729.8,-2.9,22.7,-5.1,14.9,-13.5,-30.2,59.1,-12.16,38.18,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.6,-745.1,-220.9,708.5,-25.3,11.4,13.4,15.8,-14.4,-29.7,57.38,-12.22,42.78,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.7,-713.3,-311.8,711.1,-30.5,-11.4,26.1,16.7,-14.9,-27.5,53.86,-13.84,44.78,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.8,-604.6,-305.1,717.8,-29.8,-62.7,25.2,16.1,-16.1,-27,49.86,-16.18,40.16,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:28.9,-681.3,-348.3,844.2,-15.8,-95.9,3.7,10.4,-16.7,-28.4,47.5,-19.66,33.34,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.0,-466.2,-193.1,851.5,-24.7,-75.3,37,5.2,-18,-30.2,45.5,-16.04,25.4,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.1,-475.6,-149,846.4,-51.8,-5.8,73.6,5.6,-20.1,-28.1,38.32,-11.74,24.78,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.2,-479.1,-568.5,790.7,-58.1,-63.1,59.8,10.2,-22.4,-24,27.64,-17.12,28.76,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.3,288.3,-887.1,961.4,-64.6,14.1,-6.3,7.2,-27.3,-20.3,23.9,-28.32,21.46,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.4,-157.5,-493.4,704.5,2,-28.9,-31.1,4.5,-28.4,-18.9,25.6,-32,18.02,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
58:29.5,136.5,-737.8,863.5,35.5,-2.9,-73.5,0,-28.5,-20.6,31.44,-33.88,12.58,0,0,0,0,0,0,44,-31.5,-10.2,144.2,-14.9,121.62
